epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.63105,1.09633,0.64815,1,0.79553,0.00020006,0.00020006,0.00020006
2,21.9218,0.81586,0.64815,1,0.62717,0.000406205,0.000406205,0.000406205
3,26.3497,0.74171,0.74074,1,0.55093,0.000603861,0.000603861,0.000603861
4,30.7809,0.61825,0.81481,1,0.41473,0.000793029,0.000793029,0.000793029
5,35.2025,0.5537,0.75926,1,0.56138,0.000973709,0.000973709,0.000973709
6,39.6346,0.41928,0.7963,1,0.59119,0.0011459,0.0011459,0.0011459
7,44.0574,0.46818,0.77778,1,0.68372,0.00125923,0.00125923,0.00125923
8,48.3788,0.34309,0.7963,1,0.66752,0.00123094,0.00123094,0.00123094
9,52.8239,0.36638,0.85185,1,0.43327,0.00120265,0.00120265,0.00120265
10,57.3524,0.29383,0.88889,1,0.32614,0.00117435,0.00117435,0.00117435
11,61.9212,0.25785,0.7963,1,0.59869,0.00114606,0.00114606,0.00114606
12,67.208,0.38316,0.81481,1,0.41607,0.00111776,0.00111776,0.00111776
13,72.0665,0.27398,0.87037,1,0.33008,0.00108947,0.00108947,0.00108947
14,77.365,0.22231,0.81481,1,0.426,0.00106118,0.00106118,0.00106118
15,82.5417,0.24426,0.83333,1,0.39988,0.00103288,0.00103288,0.00103288
16,88.2489,0.22018,0.81481,1,0.43489,0.00100459,0.00100459,0.00100459
17,93.6882,0.22015,0.7963,1,0.54814,0.000976293,0.000976293,0.000976293
18,98.7946,0.21495,0.85185,1,0.40983,0.000947999,0.000947999,0.000947999
19,104.566,0.17459,0.7963,1,0.5242,0.000919704,0.000919704,0.000919704
20,109.871,0.19247,0.7963,1,0.55184,0.00089141,0.00089141,0.00089141
21,115.267,0.15135,0.83333,1,0.43014,0.000863116,0.000863116,0.000863116
22,120.707,0.13905,0.81481,1,0.41748,0.000834822,0.000834822,0.000834822
23,126.657,0.14392,0.81481,1,0.47585,0.000806528,0.000806528,0.000806528
24,131.745,0.10991,0.83333,1,0.51326,0.000778233,0.000778233,0.000778233
25,137.844,0.16463,0.85185,1,0.42211,0.000749939,0.000749939,0.000749939
26,143.57,0.22974,0.88889,1,0.32182,0.000721645,0.000721645,0.000721645
27,149.427,0.15956,0.88889,1,0.31809,0.000693351,0.000693351,0.000693351
28,155.378,0.1358,0.87037,1,0.40902,0.000665057,0.000665057,0.000665057
29,160.929,0.08175,0.90741,1,0.39358,0.000636762,0.000636762,0.000636762
30,167.069,0.11214,0.85185,1,0.56734,0.000608468,0.000608468,0.000608468
31,172.365,0.13674,0.87037,1,0.61743,0.000580174,0.000580174,0.000580174
32,178.495,0.08806,0.85185,1,0.56926,0.00055188,0.00055188,0.00055188
33,185.793,0.12076,0.83333,1,0.40626,0.000523586,0.000523586,0.000523586
34,194.84,0.16848,0.85185,1,0.43391,0.000495291,0.000495291,0.000495291
35,203.48,0.08592,0.85185,1,0.45963,0.000466997,0.000466997,0.000466997
36,212.129,0.0982,0.85185,1,0.47678,0.000438703,0.000438703,0.000438703
37,220.873,0.07371,0.85185,1,0.61515,0.000410409,0.000410409,0.000410409
38,229.312,0.09815,0.85185,1,0.68281,0.000382115,0.000382115,0.000382115
39,236.565,0.06757,0.83333,1,0.58657,0.00035382,0.00035382,0.00035382
40,242.354,0.11077,0.83333,1,0.59049,0.000325526,0.000325526,0.000325526
41,250.831,0.11651,0.83333,1,0.45594,0.000297232,0.000297232,0.000297232
42,259.425,0.10113,0.83333,1,0.4981,0.000268938,0.000268938,0.000268938
43,267.154,0.1138,0.85185,1,0.38847,0.000240644,0.000240644,0.000240644
44,274.76,0.12042,0.85185,1,0.42112,0.000212349,0.000212349,0.000212349
45,282.377,0.06339,0.87037,1,0.40504,0.000184055,0.000184055,0.000184055
46,291.483,0.13073,0.85185,1,0.42869,0.000155761,0.000155761,0.000155761
47,300.664,0.09175,0.87037,1,0.43028,0.000127467,0.000127467,0.000127467
48,309.648,0.07352,0.87037,1,0.43376,9.91726e-05,9.91726e-05,9.91726e-05
49,317.685,0.07184,0.85185,1,0.46185,7.08784e-05,7.08784e-05,7.08784e-05
50,325.938,0.09294,0.85185,1,0.45814,4.25842e-05,4.25842e-05,4.25842e-05
