epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.34803,1.11309,0.51515,1,0.92697,0.00024293,0.00024293,0.00024293
2,12.307,0.93215,0.60606,1,0.74088,0.000490247,0.000490247,0.000490247
3,18.118,0.73452,0.66667,1,0.5642,0.000727378,0.000727378,0.000727378
4,24.3135,0.64372,0.78788,1,0.89947,0.000954323,0.000954323,0.000954323
5,31.4084,0.5605,0.81818,1,0.38161,0.00117108,0.00117108,0.00117108
6,38.0905,0.51267,0.80303,1,0.68788,0.00128753,0.00128753,0.00128753
7,45.5338,0.38128,0.90909,1,0.27046,0.00125923,0.00125923,0.00125923
8,53.0508,0.25876,0.81818,1,0.77653,0.00123094,0.00123094,0.00123094
9,60.4384,0.35326,0.90909,1,0.38349,0.00120265,0.00120265,0.00120265
10,68.4038,0.36097,0.87879,1,0.22059,0.00117435,0.00117435,0.00117435
11,76.2985,0.33363,0.81818,1,0.53036,0.00114606,0.00114606,0.00114606
12,83.833,0.2325,0.89394,1,0.26829,0.00111776,0.00111776,0.00111776
13,91.831,0.27268,0.89394,1,0.24498,0.00108947,0.00108947,0.00108947
14,99.5456,0.28081,0.87879,1,0.34347,0.00106118,0.00106118,0.00106118
15,106.914,0.34789,0.89394,1,0.14378,0.00103288,0.00103288,0.00103288
16,115.099,0.26403,0.89394,1,0.2518,0.00100459,0.00100459,0.00100459
17,122.375,0.20049,0.90909,1,0.2862,0.000976293,0.000976293,0.000976293
18,130.917,0.31019,0.86364,1,0.22555,0.000947999,0.000947999,0.000947999
19,138.021,0.32808,0.86364,1,0.21387,0.000919704,0.000919704,0.000919704
20,145.282,0.22414,0.87879,1,0.20875,0.00089141,0.00089141,0.00089141
21,153.537,0.26154,0.87879,1,0.23919,0.000863116,0.000863116,0.000863116
22,161.106,0.28199,0.92424,1,0.21819,0.000834822,0.000834822,0.000834822
23,168.833,0.19881,0.90909,1,0.25744,0.000806528,0.000806528,0.000806528
24,177.258,0.28574,0.90909,1,0.29962,0.000778233,0.000778233,0.000778233
25,185.539,0.21201,0.89394,1,0.28957,0.000749939,0.000749939,0.000749939
26,192.935,0.20133,0.87879,1,0.32087,0.000721645,0.000721645,0.000721645
27,200.463,0.24697,0.90909,1,0.19789,0.000693351,0.000693351,0.000693351
28,208.763,0.13671,0.90909,1,0.1827,0.000665057,0.000665057,0.000665057
29,216.067,0.16628,0.92424,1,0.19953,0.000636762,0.000636762,0.000636762
30,223.971,0.11475,0.92424,1,1.05364,0.000608468,0.000608468,0.000608468
31,232.325,0.12039,0.90909,1,0.23465,0.000580174,0.000580174,0.000580174
32,239.872,0.14,0.92424,1,0.2121,0.00055188,0.00055188,0.00055188
33,247.686,0.1721,0.89394,1,1.27225,0.000523586,0.000523586,0.000523586
34,255.621,0.12543,0.92424,1,0.17098,0.000495291,0.000495291,0.000495291
35,263.187,0.22658,0.90909,1,0.2572,0.000466997,0.000466997,0.000466997
36,270.733,0.11087,0.86364,1,0.30345,0.000438703,0.000438703,0.000438703
37,278.079,0.12217,0.89394,1,0.24606,0.000410409,0.000410409,0.000410409
38,285.488,0.17008,0.90909,1,0.21524,0.000382115,0.000382115,0.000382115
39,293.03,0.17897,0.90909,1,0.17966,0.00035382,0.00035382,0.00035382
40,300.763,0.12255,0.89394,1,0.21509,0.000325526,0.000325526,0.000325526
41,308.585,0.09506,0.89394,1,0.20028,0.000297232,0.000297232,0.000297232
42,315.882,0.09437,0.92424,1,0.19192,0.000268938,0.000268938,0.000268938
43,323.348,0.09636,0.89394,1,0.24254,0.000240644,0.000240644,0.000240644
44,331.274,0.12093,0.87879,1,0.2733,0.000212349,0.000212349,0.000212349
45,339.036,0.10999,0.89394,1,0.28716,0.000184055,0.000184055,0.000184055
46,346.546,0.18737,0.89394,1,0.51789,0.000155761,0.000155761,0.000155761
47,354.226,0.126,0.90909,1,0.21902,0.000127467,0.000127467,0.000127467
48,361.705,0.15478,0.90909,1,0.31399,9.91726e-05,9.91726e-05,9.91726e-05
49,368.993,0.06887,0.90909,1,0.43283,7.08784e-05,7.08784e-05,7.08784e-05
50,376.975,0.10522,0.92424,1,0.18589,4.25842e-05,4.25842e-05,4.25842e-05
