epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.452,1.20883,3.0323,1.25734,0.00217,0.98113,0.29544,0.18476,1.23175,4.23113,1.4029,0.00038,0.00038,0.00038
2,278.585,1.13271,2.47616,1.26499,0.59895,0.33818,0.38181,0.23536,1.36496,4.15415,1.53387,0.000764556,0.000764556,0.000764556
3,409.558,1.25959,2.68314,1.38069,0.32821,0.39623,0.29283,0.16201,1.50977,4.21275,1.89651,0.00113327,0.00113327,0.00113327
4,539.524,1.21064,2.36274,1.34572,0.20215,0.26415,0.12119,0.0623,1.81143,4.90043,1.89902,0.00148615,0.00148615,0.00148615
5,671.385,1.27272,2.2245,1.33818,0.15393,0.33962,0.11375,0.05615,1.70794,18.313,2.17426,0.00182318,0.00182318,0.00182318
6,803.241,1.30942,2.29487,1.37911,0.10659,0.22642,0.14772,0.05465,1.69096,14.8069,2.05343,0.001802,0.001802,0.001802
7,932.563,1.33254,2.08092,1.39699,0.38774,0.35849,0.21786,0.1114,1.66271,9.41176,2.04633,0.0017624,0.0017624,0.0017624
8,1061.67,1.24337,1.92716,1.32484,0.34278,0.35849,0.2778,0.13394,1.63589,7.49353,1.93347,0.0017228,0.0017228,0.0017228
9,1189.94,1.22934,1.7842,1.37314,0.49554,0.45283,0.45212,0.28283,1.53913,3.87429,1.99932,0.0016832,0.0016832,0.0016832
10,1319.87,1.23606,1.58511,1.33491,0.51782,0.5283,0.5165,0.31867,1.28505,3.23656,1.47688,0.0016436,0.0016436,0.0016436
11,1445.03,1.15908,1.55789,1.26833,0.3946,0.50428,0.46148,0.26944,1.50979,2.55592,1.71382,0.001604,0.001604,0.001604
12,1567.88,1.18837,1.45412,1.27599,0.76402,0.48874,0.52773,0.32296,1.43415,2.23518,1.53308,0.0015644,0.0015644,0.0015644
13,1690.31,1.23008,1.55942,1.32413,0.66383,0.54717,0.54003,0.35353,1.33127,2.26777,1.36324,0.0015248,0.0015248,0.0015248
14,1812.46,1.18985,1.44036,1.2618,0.59344,0.58491,0.51719,0.32128,1.34369,1.87688,1.41517,0.0014852,0.0014852,0.0014852
15,1935.2,1.13019,1.33885,1.22187,0.63589,0.59321,0.60281,0.38948,1.32171,1.85281,1.47501,0.0014456,0.0014456,0.0014456
16,2057.77,1.09014,1.24717,1.22246,0.57981,0.65095,0.5544,0.33371,1.3477,1.91652,1.46401,0.001406,0.001406,0.001406
17,2179.98,1.09079,1.21555,1.20497,0.76849,0.56604,0.58658,0.39622,1.28234,1.73955,1.39707,0.0013664,0.0013664,0.0013664
18,2299.8,1.09745,1.21079,1.22128,0.62483,0.60377,0.53035,0.33112,1.31432,1.88984,1.4106,0.0013268,0.0013268,0.0013268
19,2417.44,1.07017,1.22836,1.21439,0.56488,0.7104,0.57475,0.38879,1.21033,1.98127,1.31264,0.0012872,0.0012872,0.0012872
20,2533.79,1.07148,1.28193,1.22149,0.69156,0.64151,0.65776,0.44745,1.14951,1.70046,1.26114,0.0012476,0.0012476,0.0012476
21,2650.48,1.05764,1.13558,1.22093,0.73179,0.64151,0.6502,0.41912,1.27165,1.70894,1.35351,0.001208,0.001208,0.001208
22,2769.27,1.07416,1.09728,1.20304,0.71624,0.71443,0.68335,0.43797,1.24538,1.42766,1.34349,0.0011684,0.0011684,0.0011684
23,2888.01,1.04682,1.12541,1.23325,0.703,0.69811,0.68413,0.44418,1.1766,1.34703,1.29887,0.0011288,0.0011288,0.0011288
24,3029.08,1.0403,1.12959,1.20064,0.66237,0.73585,0.67462,0.43426,1.16751,1.39213,1.32559,0.0010892,0.0010892,0.0010892
25,3151.67,1.00672,1.02459,1.16482,0.67878,0.71698,0.71018,0.44196,1.25767,1.24084,1.32081,0.0010496,0.0010496,0.0010496
26,3272.97,1.06815,1.07733,1.19652,0.59885,0.84503,0.74024,0.45793,1.23675,1.28582,1.25488,0.00101,0.00101,0.00101
27,3449.5,1.04347,1.07015,1.18193,0.69735,0.75472,0.77564,0.4829,1.25316,1.13431,1.29296,0.0009704,0.0009704,0.0009704
27,225.011,1.04522,1.02318,1.12553,0.71421,0.71698,0.72208,0.47148,1.33093,1.36057,1.33804,0.0009704,0.0009704,0.0009704
28,3653.26,0.93771,0.92184,1.10563,0.69929,0.79245,0.77187,0.491,1.16876,1.1002,1.28582,0.0009308,0.0009308,0.0009308
28,409.842,0.96956,0.99887,1.13204,0.72419,0.74321,0.74809,0.5039,1.195,1.13705,1.28826,0.0009308,0.0009308,0.0009308
29,3826.97,1.04552,1.02687,1.15992,0.63222,0.73585,0.70992,0.47283,1.21375,1.30231,1.2989,0.0008912,0.0008912,0.0008912
29,583.728,0.96809,0.99664,1.19165,0.69189,0.77358,0.74213,0.48973,1.17483,1.05215,1.33024,0.0008912,0.0008912,0.0008912
30,4005.58,0.99438,0.94538,1.1407,0.671,0.73585,0.66524,0.44347,1.1447,1.55418,1.28205,0.0008516,0.0008516,0.0008516
30,762.191,0.94847,0.96194,1.14276,0.71382,0.71698,0.70342,0.45504,1.15856,1.108,1.31413,0.0008516,0.0008516,0.0008516
31,4179.86,0.99518,0.9534,1.16885,0.75365,0.69274,0.66881,0.44152,1.18199,1.24969,1.29404,0.000812,0.000812,0.000812
